Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Reason),Custom field (Request Type),Custom field (Score),Custom field (Score),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Team Id,Team Name,Custom field (Test Level),Custom field (Test Level),Custom field (Test Steps),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Testcase Result),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
RS28-Deleting a service failed,PS-239,10378,Bug,To Do,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,14/Jul/24 7:28 PM,15/Jul/24 3:46 PM,14/Jul/24 7:54 PM,,,0,,Deleting a service failed while the service was in use (booking status = available).,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,,,,,,,,,,,,,PS-101,,,,,,,,,,,,,,14/Jul/24 7:59 PM;712020:d3fdaee1-a731-44bf-9602-daee1d498329;1.jpg;https://thangnt.atlassian.net/rest/api/3/attachment/content/10182,14/Jul/24 7:59 PM;712020:d3fdaee1-a731-44bf-9602-daee1d498329;2.jpg;https://thangnt.atlassian.net/rest/api/3/attachment/content/10184,14/Jul/24 7:59 PM;712020:d3fdaee1-a731-44bf-9602-daee1d498329;3.jpg;https://thangnt.atlassian.net/rest/api/3/attachment/content/10181,14/Jul/24 7:59 PM;712020:d3fdaee1-a731-44bf-9602-daee1d498329;4.jpg;https://thangnt.atlassian.net/rest/api/3/attachment/content/10185,14/Jul/24 7:59 PM;712020:d3fdaee1-a731-44bf-9602-daee1d498329;5.jpg;https://thangnt.atlassian.net/rest/api/3/attachment/content/10183,,,,,,Service is still deleted,,,,,,,{},,,,,,,Show service deletion failure message,,,,,,,0|i002dq:,,,,,PS Sprint 2,,,,,,,,,,Unit,,"1. Login with shopOwner account with:
username: shop1
password: 123456
2. Choose button ""dịch vụ""
3. Click the trash can icon below the active service you want to delete",Fail,,,,,,,,To Do,14/Jul/24 7:28 PM
RS27-Remove service sussefully,PS-238,10377,Testcase,To Do,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,14/Jul/24 7:27 PM,15/Jul/24 3:46 PM,14/Jul/24 8:39 PM,,,0,,Remove service sussefully,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,,,,,,,,,,,,,PS-101,,,,,,,,,,,,,,14/Jul/24 7:52 PM;712020:d3fdaee1-a731-44bf-9602-daee1d498329;2.jpg;https://thangnt.atlassian.net/rest/api/3/attachment/content/10177,14/Jul/24 7:52 PM;712020:d3fdaee1-a731-44bf-9602-daee1d498329;3.jpg;https://thangnt.atlassian.net/rest/api/3/attachment/content/10176,14/Jul/24 7:52 PM;712020:d3fdaee1-a731-44bf-9602-daee1d498329;z5632907861651_7e87e02a0822a7163cd7fb4fd54f443b.jpg;https://thangnt.atlassian.net/rest/api/3/attachment/content/10175,,,,,,,,"When you refresh the website, that service will no longer appear.",,,,,,,{},,,,,,,"When you refresh the website, that service will no longer appear.",,,,,,,0|i002dp:,,,,,PS Sprint 2,,,,,,,,,,Unit,,"1. Login with shopOwner account with:
username: shop1
password: 123456
2. Choose button ""dịch vụ""
3. Click trash icon below service you want to delete",Pass,,,,,,,,To Do,14/Jul/24 7:27 PM
UC-21: View Detail Account,PS-237,10376,Story,To Do,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,,,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,14/Jul/24 4:22 PM,15/Jul/24 10:25 AM,15/Jul/24 3:57 PM,,,0,,,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,,,,,,,,,,,,,PS-285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,PS-1,Account Management,,,,,,purple,,,,,0|i001h2:zzr,,,,,PS Sprint 3,,,,,,,,,,,,,,,,,,,10140,Account Management,To Do,14/Jul/24 4:22 PM
UC-10B: Booking Service (),PS-236,10375,Story,To Do,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,,,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,14/Jul/24 4:14 PM,15/Jul/24 3:47 PM,15/Jul/24 3:45 PM,,,0,,Booking description is out of date,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,,,,,,,,,PS-295,PS-296,,,,,,,,,,,,,,,,,,,,,,,,,,,"Desired results:
- Case 1: after the service has been used (the customer has brought the pet to the store to use the service), there will be a notification for the customer to confirm that this service has been used.
- Case 2: after successfully booking the service, the display will appear to confirm that the service was booked successfully",,,,,,,{},,PS-3,Booking Management,,,,"Desired results:
- Case 1: after the service has been used (the customer has brought the pet to the store to use the service), there will be a notification for the customer to confirm that this service has been used.
- Case 2: after successfully booking the service, the display will appear to confirm that the service was booked successfully",,purple,,,,,0|i001h2:zzz,,,,,PS Sprint 3,,,,,,,,,,,,"- Case 1 logs in with a user account and then orders a service.
- Case 2 customers confirm orders when placing a successful service order",,,,,,,10142,Booking Management,To Do,14/Jul/24 4:14 PM
UC-20: View list account,PS-235,10374,Story,To Do,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,,,,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,14/Jul/24 4:13 PM,14/Jul/24 4:18 PM,15/Jul/24 3:57 PM,,,0,,,,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,PS-1,Account Management,,,,,,purple,,,,,0|i0021n:,,,,,,,,,,,,,,,,,,,,,,,,10140,Account Management,To Do,14/Jul/24 4:13 PM
UC-20: View list account,PS-234,10373,Story,To Do,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,,,,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,14/Jul/24 4:12 PM,14/Jul/24 10:42 PM,14/Jul/24 4:41 PM,,,0,,,,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,,,,,,,,,PS-274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,PS-1,Account Management,,,,,,purple,,,,,0|i002be:xzr,,,,,PS Sprint 4,,,,,,,,,,,,,,,,,,,10140,Account Management,To Do,14/Jul/24 4:12 PM
UC-29: Nomination of Shop,PS-233,10372,Story,To Do,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,14/Jul/24 4:11 PM,14/Jul/24 9:04 PM,14/Jul/24 9:02 PM,,,0,,Nomination of shop,,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,,,,,,,,,PS-255,PS-256,,,,,,,,,,,,,,,,,,,,,,,,,,,Follow the Testcases below,,,,,,,{},,PS-2,Shop Management,,,,Follow the Testcases below,,purple,,,,,0|i002be:xr,,,,,PS Sprint 4,,,,,,,,,,,,Follow the Testcases below,,,,,,,10141,Shop Management,To Do,14/Jul/24 4:11 PM
CAS47 - Verify username - Create account shopOwner fail when username has been used,PS-232,10371,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,,,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,13/Jul/24 12:57 PM,14/Jul/24 4:42 PM,15/Jul/24 3:57 PM,13/Jul/24 1:05 PM,,0,,"When a user tries to create a new account with an already used username, the system should not allow the registration process to be completed and should display an appropriate error message.",,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,,,,,,,,,,,,,,,,,,,,,,,,,,,13/Jul/24 1:06 PM;712020:f6e02544-91ef-470b-bfa9-afcf8378a285;CAS46 - step 1.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10168,13/Jul/24 1:06 PM;712020:f6e02544-91ef-470b-bfa9-afcf8378a285;CAS46 - step 2.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10167,13/Jul/24 1:06 PM;712020:f6e02544-91ef-470b-bfa9-afcf8378a285;CAS47 - step 3.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10166,13/Jul/24 1:06 PM;712020:f6e02544-91ef-470b-bfa9-afcf8378a285;CAS47 - step 4.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10169,,,,,,,The system displays an error message stating that the username has already been used.,,,,,,,{},,,,,,,The system displays an error message stating that the username has already been used.,,,,,,,0|i002bj:,,,,,,,,,,,,,,,Unit,,"1. Sign in with admin account ( username : admin, password: 123456)
2. Go to shop account page and choose create botton
3. Input all field with username has been used ( shophoang )
4. Choose create botton",Pass,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_521083,,,Done,13/Jul/24 1:05 PM
CAS46 - Verify email - Create account shopOwner fail when email has been used,PS-231,10370,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,,,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,13/Jul/24 12:40 PM,14/Jul/24 4:42 PM,14/Jul/24 4:42 PM,14/Jul/24 4:42 PM,,0,,"When a admin tries to create a new account with an already used email, the system should not allow the registration process to be completed and should display an appropriate error message.",,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,The system displays an error message stating that the email has already been used.,,,,,,,0|i002bb:,,,,,,,,,,,,,,,,,"1. Sign in with admin account ( username : admin, password: 123456)
2. Go to shop account page and choose create botton
3. Input all field with email has been used ( duyhoangto@gmail.com )
4. Choose create botton",,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_100891444,,,Done,14/Jul/24 4:42 PM
UC-22: Create account shopOwner,PS-230,10369,Story,To Do,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,,,,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,13/Jul/24 12:38 PM,15/Jul/24 3:32 PM,14/Jul/24 4:41 PM,,,0,,,,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,,,,,,,,,PS-292,PS-293,PS-294,,,,,,,,,,,,,,,,,,,,,,,,,,"Actual results:
- Case 1 displays a notification that the username already exists
- Case 2 creates account successfully
- Case 3 displays a message that you do not have the time limit to create a shop account",,,,,,,{},,PS-1,Account Management,,,,"Desired results:
- Where a success occurs
- Case 2 displays a notification that the username already exists
- Case 3 displays a notification that the email already exists
- Case 4 displays a message that you do not have the right to create a shop account",,purple,,,,,0|i002be:xzx,,,,,PS Sprint 4,,,,,,,,,,,,"- In the first case, create a successful account with all the information
- Case 1 creates an account with the same username as the previous account
- Case 2 creates an account with the same email as the account above
- Case 3 uses an account without created permissions",,,,,,,10140,Account Management,To Do,13/Jul/24 12:38 PM
EP52-Test the email address update logic,PS-228,10367,Bug,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,11/Jul/24 2:29 PM,14/Jul/24 4:43 PM,15/Jul/24 3:57 PM,14/Jul/24 4:43 PM,,0,change,"Verify that when a user changes their email address, the system sends a confirmation email to the new email address.",,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,,,,,,,,,,,,,,,,,,,,,,,,,,11/Jul/24 2:30 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;1.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10165,11/Jul/24 2:30 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;2.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10163,11/Jul/24 2:30 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;3.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10164,,,,,,,,,,,,,,,{},,,,,,,A confirmation email is sent to the new email address and asks the user to confirm the change.,,,,,,,0|i002bc:zzzy,,,,,,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,Unit,,"1. Sign in to web https://pet-spa-391.vercel.app/
account: dognomomgohome/123456
2. Navigate to the ""Trang cá nhân""
3. Click ""Chỉnh sửa""
3. Change email address "" nguyenthanhthang190500@gmail.com""
4. Save changes.
5. Check the new email to confirm receipt of the confirmation email.",,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_267243903,,,Done,14/Jul/24 4:43 PM
EP51-Edit profile successfully with valid data,PS-227,10366,Bug,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,11/Jul/24 1:55 PM,14/Jul/24 4:43 PM,15/Jul/24 3:57 PM,14/Jul/24 4:43 PM,,0,,Verify that the user can successfully edit their profile with valid data.,,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,,,,,,,,,,,,,,,,,,,,,,,,,,11/Jul/24 2:13 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;1.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10162,11/Jul/24 2:13 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;2.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10161,11/Jul/24 2:13 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;3.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10160,,,,,,,,,,,,,,,{},,,,,,,"The profile is updated successfully, and a confirmation message is displayed.",,,,,,,0|i002bc:zzzx,,,,,,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,Unit,,"1. Log in to web https://pet-spa-391.vercel.app/ 
acccount: dognomomgohome / 123456
2. Navigate to the ""Trang cá nhân""
3. Click ""Chỉnh sửa""
3. Update the name field ""meomeo""
4. Attempt to save the changes.",,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_269291756,,,Done,14/Jul/24 4:43 PM
ES57 - Editting service failed when it is deleted,PS-226,10365,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,11/Jul/24 12:46 PM,14/Jul/24 4:40 PM,15/Jul/24 3:57 PM,11/Jul/24 2:26 PM,,0,,Edit a service which is deleted. ,,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,,,,,,,,,,,,,,,,,,,,,,,,,,,11/Jul/24 1:42 PM;712020:def5c1c0-06da-4df7-a0c5-da91aeadc572;1.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10157,11/Jul/24 1:44 PM;712020:def5c1c0-06da-4df7-a0c5-da91aeadc572;2.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10158,11/Jul/24 1:44 PM;712020:def5c1c0-06da-4df7-a0c5-da91aeadc572;3.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10159,,,,,,,,"The message ""Service is deleted"" is appear",,,,,,,{},,,,,,,"The message ""Service is deleted"" is appear",,,,,,,0|i002a7:,,,,,PS Sprint 2,,,,,,,,,,Unit,,"1. Run code with local
2. Use Postman to test api with code of BE
3. Input {{local}}/service with put to use api
4. Input a service is deleted {
    ""id"":""11"",
    ""userId"":21,
    ""serviceCategoryId"":1,
    ""serviceName"":""tam cheeeo2"",
    ""serviceDescription"":""338"",
    ""price"":82,
    ""minWeight"":8,
    ""maxWeight"":83,
    ""tags"":""spa""
}
5. Click to Send to execute",Pass,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_6016480,,,Done,11/Jul/24 2:26 PM
de,PS-225,10364,Sub-task,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,,,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,11/Jul/24 12:37 PM,14/Jul/24 7:54 PM,15/Jul/24 3:57 PM,11/Jul/24 12:44 PM,,0,,,,Nguyen Hang Nhat Huy (K17 HCM),712020:def5c1c0-06da-4df7-a0c5-da91aeadc572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|i0029z:,,,,,PS Sprint 2,,,,,,,,,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_423168,10348,UC-27: Delete information of shop,Done,11/Jul/24 12:44 PM
DA34 - Deleting an account fails when the account is in use.,PS-224,10363,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Vo Anh Hao (K17 HCM),712020:8a6de0f7-37ce-47de-ad83-1be1ca7887c5,Vo Anh Hao (K17 HCM),712020:8a6de0f7-37ce-47de-ad83-1be1ca7887c5,Vo Anh Hao (K17 HCM),712020:8a6de0f7-37ce-47de-ad83-1be1ca7887c5,10/Jul/24 10:35 PM,14/Jul/24 4:43 PM,15/Jul/24 3:57 PM,14/Jul/24 4:43 PM,,0,,Admin delete an account that is currently in use.,,Vo Anh Hao (K17 HCM),712020:8a6de0f7-37ce-47de-ad83-1be1ca7887c5,,,,,,,,,,,,,PS-222,,,,,,,,,,,,,,,,,,,,,,,,The system denies the deletion,,,,,,,{},,,,,,,The system denies the deletion and displays an error message.,,,,,,,0|i002bc:zzzv,,,,,,,,,,,,,,,Unit,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_324467952,,,Done,14/Jul/24 4:43 PM
DA33 - Delete an existing account on the system,PS-223,10362,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Vo Anh Hao (K17 HCM),712020:8a6de0f7-37ce-47de-ad83-1be1ca7887c5,Vo Anh Hao (K17 HCM),712020:8a6de0f7-37ce-47de-ad83-1be1ca7887c5,Vo Anh Hao (K17 HCM),712020:8a6de0f7-37ce-47de-ad83-1be1ca7887c5,10/Jul/24 10:16 PM,14/Jul/24 4:43 PM,15/Jul/24 3:57 PM,14/Jul/24 4:43 PM,,0,,Admin deletes an existing account.,,Vo Anh Hao (K17 HCM),712020:8a6de0f7-37ce-47de-ad83-1be1ca7887c5,,,,,,,,,,,,,PS-222,,,,,,,,,,,,,,10/Jul/24 10:23 PM;712020:8a6de0f7-37ce-47de-ad83-1be1ca7887c5;1.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10154,10/Jul/24 10:24 PM;712020:8a6de0f7-37ce-47de-ad83-1be1ca7887c5;2.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10155,10/Jul/24 10:24 PM;712020:8a6de0f7-37ce-47de-ad83-1be1ca7887c5;3.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10156,,,,,,,,The account is removed from the system,,,,,,,{},,,,,,,"The account is removed from the system, and a success notification is displayed.",,,,,,,0|i002bc:zzzr,,,,,,,,,,,,,,,Unit,,"1.Log in as an admin.
2.Navigate to ""Tài Khoản Khách Hàng""
3.Select ""Delete Account.""
4.Click button ""delete""
5.Confirm the deletion action.
6.Log out.",Pass,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_325605249,,,Done,14/Jul/24 4:43 PM
UC-24: Delete Account,PS-222,10361,Story,To Do,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,,,,Vo Anh Hao (K17 HCM),712020:8a6de0f7-37ce-47de-ad83-1be1ca7887c5,Vo Anh Hao (K17 HCM),712020:8a6de0f7-37ce-47de-ad83-1be1ca7887c5,10/Jul/24 10:14 PM,14/Jul/24 4:37 PM,15/Jul/24 3:57 PM,,,0,,,,Vo Anh Hao (K17 HCM),712020:8a6de0f7-37ce-47de-ad83-1be1ca7887c5,,,,,,,,,PS-223,PS-224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,PS-1,Account Management,,,,,,purple,,,,,0|i002bi:zzi,,,,,,,,,,,,,,,,,,,,,,,,10140,Account Management,To Do,10/Jul/24 10:14 PM
VHO40 - Verify history booking - Must sign in to view history booking,PS-221,10360,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,,,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,07/Jul/24 11:53 PM,14/Jul/24 4:40 PM,15/Jul/24 3:57 PM,07/Jul/24 11:58 PM,,0,,Verify that users must sign in to view the booking history.,,Ngo Anh Kiet,712020:f6e02544-91ef-470b-bfa9-afcf8378a285,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Jul/24 12:04 AM;712020:f6e02544-91ef-470b-bfa9-afcf8378a285;step 1 - VHOT40.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10152,08/Jul/24 12:04 AM;712020:f6e02544-91ef-470b-bfa9-afcf8378a285;step 2 - VHO40.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10151,08/Jul/24 12:04 AM;712020:f6e02544-91ef-470b-bfa9-afcf8378a285;step 3 4 - VHO40.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10153,08/Jul/24 12:04 AM;712020:f6e02544-91ef-470b-bfa9-afcf8378a285;step 5 - VHO40.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10150,,,,,,,Users who are not signed in will be redirected to the sign-in page when accessing the booking history.,,,,,,,{},,,,,,,Users who are not signed in will be redirected to the sign-in page when accessing the booking history.,,,,,,,0|i00293:,,,,,,,,,,,,,,,Unit,,"1. Open the website.
2. Navigate to the booking history page.
3. Sign in with customer account (username: kietanh, password : 123456)
4. Click avata's user and choose view history booking
5. Redirect to order history page",Pass,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_314937,,,Done,07/Jul/24 11:58 PM
